date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:46	7010/7010	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:45%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE--D0fqaMe/w:180/h:180/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/cropped-printer-1695681-1437194-removebg-preview.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE--D0fqaMe/w_180/h_180/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/cropped-printer-1695681-1437194-removebg-preview.png	(from https://shopbilling.in/)
08:31:46	7621/7621	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:46%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-jt0Luo-h/w:254/h:72/q:auto/https://shopbilling.in/wp-content/uploads/2020/08/cropped-clogoPNG.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-jt0Luo-h/w_254/h_72/q_auto/https_/shopbilling.in/wp-content/uploads/2020/08/cropped-clogoPNG.png	(from https://shopbilling.in/)
08:31:47	2359/2359	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:47%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-KA08Qzdp/w:337/h:96/q:auto/https://shopbilling.in/wp-content/uploads/2020/08/clogoPNG.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-KA08Qzdp/w_337/h_96/q_auto/https_/shopbilling.in/wp-content/uploads/2020/08/clogoPNG.png	(from https://shopbilling.in/)
08:31:48	520/520	---M-Z	200	added ('OK')	image/svg+xml	etag:c1ce6bc54b513c184839f16c4e99ebda	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-2vtwFiPS/w:150/h:150/q:eco/https://shopbilling.in/wp-content/uploads/2020/06/pos-main-opti.jpg	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-2vtwFiPS/w_150/h_150/q_eco/https_/shopbilling.in/wp-content/uploads/2020/06/pos-main-opti.svg	(from https://shopbilling.in/)
08:31:49	4553/4553	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Dec%202020%2003:01:48%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-2vtwFiPS/w:150/h:150/q:auto/rt:fill/g:ce/https://shopbilling.in/wp-content/uploads/2020/06/pos-main-opti.jpg	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-2vtwFiPS/w_150/h_150/q_auto/rt_fill/g_ce/https_/shopbilling.in/wp-content/uploads/2020/06/pos-main-opti.jpg	(from https://shopbilling.in/)
08:31:49	419/419	---M-Z	200	added ('OK')	image/svg+xml	etag:9e3c59e8ead6918e8b5eaed27e339c31	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-8YbXTBoK/w:200/h:35/q:eco/https://shopbilling.in/wp-content/uploads/2020/06/divider-free-img-1.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-8YbXTBoK/w_200/h_35/q_eco/https_/shopbilling.in/wp-content/uploads/2020/06/divider-free-img-1.svg	(from https://shopbilling.in/)
08:31:50	842/842	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:50%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-8YbXTBoK/w:200/h:35/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/divider-free-img-1.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-8YbXTBoK/w_200/h_35/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/divider-free-img-1.png	(from https://shopbilling.in/)
08:31:51	403/403	---M-Z	200	added ('OK')	image/svg+xml	etag:12555973e6a97fcebde9cc3690adb385	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-HrN2a8dc/w:277/h:102/q:eco/https://shopbilling.in/wp-content/uploads/2020/06/Capture1-opti.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-HrN2a8dc/w_277/h_102/q_eco/https_/shopbilling.in/wp-content/uploads/2020/06/Capture1-opti.svg	(from https://shopbilling.in/)
08:31:51	1346/1346	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Dec%202020%2003:01:51%20GMT	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-HrN2a8dc/w:277/h:102/q:auto/https://shopbilling.in/wp-content/uploads/2020/06/Capture1-opti.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-HrN2a8dc/w_277/h_102/q_auto/https_/shopbilling.in/wp-content/uploads/2020/06/Capture1-opti.png	(from https://shopbilling.in/)
08:31:52	420/420	---M-Z	200	added ('OK')	image/svg+xml	etag:8ad46f12feaee0c4e44c34706980de1c	https://mlcz7f5by3zx.i.optimole.com/19e9sCE-3JoyqtXc/w:294/h:121/q:eco/https://shopbilling.in/wp-content/uploads/2020/06/Capture2-1.png	C:/My%20Web%20Sites/Shopbilling.in/mlcz7f5by3zx.i.optimole.com/19e9sCE-3JoyqtXc/w_294/h_121/q_eco/https_/shopbilling.in/wp-content/uploads/2020/06/Capture2-1.svg	(from https://shopbilling.in/)
